entidad,hhi,m_total,n_proveedores,nivel
GOBIERNO REGIONAL DE LAMBAYEQUE - PROYECTO ESPECIAL OLMOS - TINAJONES,4843.1,80358953.45,19,alto
ZONA REGISTRAL N° VI SEDE PUCALLPA,4838.7,2293690.75,5,alto
MUNICIPALIDAD DISTRITAL DE PALCA - HUANCAVELICA,4838.5,20465783.229999997,8,alto
SIERRA EXPORTADORA,4826.5,10742907.799999999,14,alto
MUNICIPALIDAD DISTRITAL DE CCOCHACCASA,4819.9,36770232.160000004,16,alto
INPE - OFICINA REGIONAL SUR AREQUIPA,4801.3,15459681.5,6,alto
MUNICIPALIDAD DISTRITAL DE MACHE,4797.5,13368779.090000002,7,alto
MUNICIPALIDAD DISTRITAL DE NUEVA REQUENA,4794.0,7562541.36,8,alto
GOBIERNO REGIONAL DE TUMBES - DIRECCION REGIONAL AGRARIA TUMBES,4785.8,5553449.800000001,6,alto
MUNICIPALIDAD DISTRITAL DE PACCHA - YAULI,4782.0,4405516.95,6,alto
MUNICIPALIDAD DISTRITAL DE MARCA,4781.1,6495040.529999999,7,alto
MUNICIPALIDAD DISTRITAL DE SAN BARTOLO,4778.7,972689.8999999999,5,alto
SERVICIOS DE SANEAMIENTO TUMBES,4773.8,2206371.38,6,alto
MUNICIPALIDAD PROVINCIAL DE URUBAMBA,4770.8,28284728.76,40,alto
MUNICIPALIDAD DISTRITAL DE SAN BERNARDINO,4731.3,41553379.98,14,alto
GOBIERNO REGIONAL DE TACNA-AGRICULTURA,4701.3,2713684.0,5,alto
MUNICIPALIDAD DISTRITAL DE MORROPON,4697.0,17281898.14,5,alto
DIRECCION DE ECONOMIA Y FINANZAS DE LA POLICIA NACIONAL DEL PERU - PNP,4696.6,852520829.6,49,alto
MUNICIPALIDAD DISTRITAL DE UCHURACCAY,4689.0,14074293.8,7,alto
MUNICIPALIDAD DISTRITAL DE JACAS CHICO,4683.5,2314680.0,5,alto
MUNICIPALIDAD PROVINCIAL DE BAGUA,4679.2,45055278.45,24,alto
GOBIERNO REGIONAL DE PIURA - INSTITUTOS SUPERIORES DE EDUCACION PUBLICA REGIONAL DE PIURA,4674.9,85747267.89,7,alto
MUNICIPALIDAD DISTRITAL DE HUACCANA,4667.8,4116990.07,8,alto
MUNICIPALIDAD DISTRITAL DE POLVORA,4661.7,11787286.0,14,alto
MUNICIPALIDAD DISTRITAL DE SANTA LUCIA - LAMPA,4656.0,36139133.17,8,alto
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUCUMA,4634.8,17322332.77,5,alto
GOBIERNO REGIONAL DE AMAZONAS - UNIDAD EJECUTORA PROAMAZONAS,4632.3,39099895.84,7,alto
MUNICIPALIDAD DISTRITAL DE ANCO - LA MAR,4631.8,7007868.9399999995,13,alto
MUNICIPALIDAD DISTRITAL DE IGNACIO ESCUDERO,4627.0,11531772.989999998,9,alto
MUNICIPALIDAD DISTRITAL DE YAMON,4625.5,4172659.3899999997,5,alto
MUNICIPALIDAD DISTRITAL DE HUATA - PUNO,4611.5,2148999.75,6,alto
GOBIERNO REGIONAL DE PUNO-SALUD PUNO-LAMPA,4600.8,1274771.2,5,alto
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,4600.7,51446608.199999996,62,alto
MUNICIPALIDAD DISTRITAL DE MAGDALENA - CAJAMARCA,4598.6,7293649.209999999,7,alto
MUNICIPALIDAD DISTRITAL DE JOSE SABOGAL,4593.4,4132724.9399999995,7,alto
INPE-OFICINA GENERAL DE INFRAESTRUCTURA,4589.1,347124015.98,20,alto
MUNICIPALIDAD DISTRITAL DE CODO DE POZUZO,4588.1,9460408.950000001,15,alto
"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP",4582.8,72733500.66000001,84,alto
MUNICIPALIDAD DISTRITAL DE CAMPO VERDE,4573.9,5009738.78,11,alto
MUNICIPALIDAD DISTRITAL DE VICTOR LARCO HERRERA,4571.4,32054457.73,10,alto
MUNICIPALIDAD DISTRITAL DE ZAÑA,4568.2,28652543.15,7,alto
PROGRAMA MEJORAMIENTO DE LOS SERVICIOS DE JUSTICIA EN MATERIA PENAL EN EL PERÚ,4567.4,3282499.31,19,alto
CORTE SUPERIOR DE JUSTICIA DE HUANUCO,4552.9,5060503.6899999995,11,alto
MUNICIPALIDAD DISTRITAL DE PUCARA - HUANCAYO,4543.3,9286352.33,5,alto
MUNICIPALIDAD DISTRITAL DE SAMUGARI,4500.6,46795998.84,10,alto
GOBIERNO REGIONAL DE LA LIBERTAD-SALUD UTES PACASMAYO,4493.0,3172808.7600000002,6,alto
MUNICIPALIDAD DISTRITAL DE CHALAMARCA,4472.7,11265068.05,11,alto
MUNICIPALIDAD DISTRITAL DE ACORA,4465.1,10833614.91,18,alto
MUNICIPALIDAD DISTRITAL DE MIRAFLORES - HUAMALIES,4463.3,11279635.68,10,alto
MUNICIPALIDAD DISTRITAL DE CHACABAMBA,4460.3,7821991.99,6,alto
MUNICIPALIDAD DISTRITAL DE LANCONES,4447.9,13353394.33,15,alto
MUNICIPALIDAD DISTRITAL DE QUICHES,4445.7,21897584.590000004,7,alto
GOBIERNO REGIONAL DE AYACUCHO - UNIDAD EJECUTORA SALUD CENTRO AYACUCHO,4444.8,7881157.130000001,11,alto
MUNICIPALIDAD DISTRITAL DE PARAS,4439.4,13430083.920000002,10,alto
MUNICIPALIDAD DISTRITAL DE MANUEL ANTONIO MESONES MURO,4435.5,1603846.88,6,alto
MUNICIPALIDAD DISTRITAL DE SAYAPULLO,4414.4,4034895.7800000003,6,alto
MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,4411.5,7069328.960000001,18,alto
MUNICIPALIDAD PROVINCIAL DE AYABACA,4406.2,75492518.14,41,alto
MUNICIPALIDAD DISTRITAL DE COLCABAMBA - TAYACAJA,4398.4,26710478.57,15,alto
MUNICIPALIDAD DISTRITAL DE EL PORVENIR - TRUJILLO,4392.1,13944251.66,9,alto
MUNICIPALIDAD DISTRITAL DE SANTILLANA,4389.4,9643746.41,9,alto
MUNICIPALIDAD DISTRITAL DE HUANDO,4381.1,35313661.31,13,alto
MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN,4379.2,1224840.31,5,alto
