ranking,proveedor,monto_total,pct_del_total,acumulado_pct
222,SISTEMAS ORACLE DEL PERU S.R.L.,44145421.45,0.061,39.967
223,CONSORCIO OBRITEC CYC KEVIN,43962103.08,0.061,40.028
224,MASTER MEDICAL SOCIEDAD ANONIMA DE CAPITAL VARIABLE,43948904.0,0.061,40.089
225,CONSORCIO ECO,43898057.84,0.061,40.15
226,CONSORCIO ALTO IHUAMACA,43548317.43,0.06,40.21
227,PRODUCTOS ROCHE Q F S A,43540985.52,0.06,40.27
228,CONSORCIO INDEPENDENCIA LIMPIO,43505830.88,0.06,40.33
229,ALTAVISTA INVERSIONES GLOBALES SOCIEDAD ANONIMA CERRADA - AIG S.A.C.,43278070.03,0.06,40.39
230,CONSORCIO TOSTEN,43118973.54,0.06,40.45
231,CONSORCIO CHECK,42909927.23,0.059,40.509
232,CORPORACION ALJAR SAC,42772860.41,0.059,40.568
233,CONSORCIO INDOAMERICA,42670284.48,0.059,40.627
234,CONSORCIO GRUPO C6V SECURITY S.A.C. - CONSORCIO GURKAS S.A.C.,42500000.0,0.059,40.686
235,CONSORCIO CONSTRUCTOR ACEISAC & IDASA,42353173.36,0.059,40.745
236,SEVEN PHARMA SAC,42235875.93,0.058,40.803
237,PAPA TIM S.A.C.,42118184.59,0.058,40.861
238,CONSORCIO EXPERTO HOSPITALARIO,41855427.18,0.058,40.919
239,CONSORCIO SEÑOR CAUTIVO,41668174.67,0.058,40.977
240,CONSTRUCCIONES & SERVICIOS DIEGUITO S.A.C.,41512102.59,0.057,41.034
241,CONSORCIO MILENIO,41495551.65,0.057,41.091
242,FGA INGENIEROS SA,41215106.0,0.057,41.148
243,CONSORCIO SAN LUIS,41148397.18,0.057,41.205
244,LABORATORIOS SIEGFRIED S.A.C.,41138246.71,0.057,41.262
245,UNIMAQ S.A.,41024485.87,0.057,41.319
246,CONSORCIO HORUS,40945672.51,0.057,41.376
247,CONSORCIO SAN ANTONIO,40885323.29,0.057,41.433
248,CONSORCIO LAS DALIAS,40762296.93,0.056,41.489
249,CONSORCIO ALBERGUE MARCONA,40742686.09,0.056,41.545
250,CONSORCIO NAYLAMP,40682815.3,0.056,41.601
251,LA POSITIVA SEGUROS Y REASEGUROS S.A.,40353038.28,0.056,41.657
252,CONSORCIO EDUCATIVO MARCONA,40243269.11,0.056,41.713
253,CONSORCIO SOL,40186371.61,0.056,41.769
254,CONSORCIO SAN ANDRES,40178937.18,0.056,41.825
255,CONSTRUCTORA J.Q. S.R.L.,39857659.33,0.055,41.88
256,CONSORCIO PIEDRA DEL TORO,39856517.06,0.055,41.935
257,LINDE PERU S.R.L.,39745736.7,0.055,41.99
258,CONSORCIO PALCA GROUP III,39602262.25,0.055,42.045
259,INVERSIONES EVZA S.R.L.,39281882.55,0.054,42.099
260,NEGOCIACIONES HAROL S E.I.R.L.,39211209.6,0.054,42.153
261,CONSORCIO VIAL ZONA B,39200000.0,0.054,42.207
262,CONSORCIO SHENLONG,39000000.0,0.054,42.261
263,SABINA CONTRATISTAS GENERALES SAC,38830393.21,0.054,42.315
264,CONSORCIO GALILEA,38353197.29,0.053,42.368
265,CONSORCIO YAMUSHIMA,38334062.44,0.053,42.421
266,CONSORCIO ELECTRICO JUNIN ASOCIADOS,37878436.01,0.052,42.473
267,CONSORCIO VOLTA,37878436.01,0.052,42.525
268,SOLTELEC INGENIEROS E.I.R.L.,37857014.81,0.052,42.577
269,CONSORCIO RIEGO HUASMIN,37803643.74,0.052,42.629
270,CONSORCIO ESPAÑOLA 2025,37728693.94,0.052,42.681
271,CONSORCIO CRUZ VERDE,37695195.65,0.052,42.733
272,CYMED MEDICAL SAC,37482242.72,0.052,42.785
273,VICOP SOCIEDAD ANONIMA,37335216.52,0.052,42.837
274,ACRUTA & TAPIA INGENIEROS S.A.C.,37219508.46,0.052,42.889
275,CONSORCIO DIEZ,37218067.85,0.052,42.941
276,CONSORCIO CONSTRUCTOR TACALA,36952905.46,0.051,42.992
277,CONSORCIO QS CONSUMO S.A.C.-ASTRAZENECA PERU S.A.,36840900.0,0.051,43.043
278,CONSORCIO VALPARAISO,36775292.45,0.051,43.094
279,CONSORCIO NORCONSAC,36769452.76,0.051,43.145
280,CONSORCIO PROGRESO,36594403.73,0.051,43.196
281,CONSORCIO DEPORTIVO MORROPÓN,36558135.59,0.051,43.247
282,CONSORCIO EJECUTOR CAMPANILLA 1,36450000.5,0.05,43.297
283,CONSORCIO CAMPANILLA 1,36450000.5,0.05,43.347
284,CONSTRUCTORA YERMHI CONTRATISTAS GENERALES E.I.R.L.,36415784.62,0.05,43.397
285,CONSORCIO ESPERANZA,36115921.47,0.05,43.447
286,CONSORCIO PROMANT,35930255.27,0.05,43.497
287,CONSORCIO PROTECTOR,35919380.17,0.05,43.547
288,ARQUIPROYECT SRL,35823075.25,0.05,43.597
289,CORPORATE SECURITY CONSULTANTS S.A.C.,35479511.85,0.049,43.646
290,CONSORCIO AZ PARCONA,35450000.0,0.049,43.695
291,ARO CONSTRUCTORA Y MINEROS EIRL,35346437.64,0.049,43.744
292,ALMACENES SANTA CLARA S A,35315002.3,0.049,43.793
293,CONSORCIO MEDICO SALOMON VILCHEZ,35257604.16,0.049,43.842
294,CONSORCIO MIARIA,35240019.35,0.049,43.891
295,CONSORCIO MAYORAZGO,35237962.27,0.049,43.94
296,CONSORCIO PRO-SERVIS,35113032.92,0.049,43.989
297,CONSORCIO VIAL PERU,35076192.9,0.049,44.038
298,PROCESADORA DE GAS PARIÑAS S.A.C,34964487.72,0.048,44.086
299,CONSORCIO SUPERVISOR PIURA,34917770.07,0.048,44.134
300,CONSORCIO MALVINAS,34879213.89,0.048,44.182
301,INFORMACION LOCALIZADA S.A.S. - SUCURSAL DEL PERU,34728045.04,0.048,44.23
302,CONSORCIO COLCABAMBA,34683173.37,0.048,44.278
303,CONSORCIO SANTIAGO,34670326.69,0.048,44.326
304,CONSORCIO CONTABILIDAD,34648710.12,0.048,44.374
305,CONSORCIO VICTOR ANDRES,34599850.38,0.048,44.422
306,CONSORCIO SAN ALFONSO,34522504.91,0.048,44.47
307,BIOMATIC PHARMA  S.A.,34392400.0,0.048,44.518
308,MEDIFARMA S A,34246415.75,0.047,44.565
309,CONSTRUCTORA Y MINERA SERPIENTE DE ORO E.I.R.L.,34155122.55,0.047,44.612
310,PROXUS SECURITY S.A.C.,34101117.08,0.047,44.659
311,CONSORCIO SUR,34032398.83,0.047,44.706
312,TRIGENESIS SRL,33974200.0,0.047,44.753
313,DIEBOLD NIXDORF PERU S.R.L.,33954984.0,0.047,44.8
314,CONSORCIO HOSPITALARIO MONZON,33889597.06,0.047,44.847
315,PERUANA DE MOTORES H.G. S.A.C. - PERUMOTOR H.G. S.A.C.,33752289.99,0.047,44.894
316,IBM DEL PERU S A C,33535061.56,0.046,44.94
317,CONSORCIO VIAL EL INDIO,33523409.25,0.046,44.986
318,CONSORCIO CUSIBAMBA,33496180.08,0.046,45.032
319,MSC CONSTRUCTORA S.A.C.,33464061.0,0.046,45.078
320,HANAI SRL,33434886.79,0.046,45.124
321,CONSORCIO MAGNUS,33420093.68,0.046,45.17
322,CONSORCIO CONTIGO PERU,33391414.14,0.046,45.216
323,CONSORCIO SEÑOR DE HUANCA,33378884.07,0.046,45.262
324,CONSORCIO DEL SUR,33217201.69,0.046,45.308
325,CONSORCIO INCOAC,33008523.79,0.046,45.354
326,INTELLIGENCE TECHNOLOGY COMPANY S.A.C.  - INTELLIGENCE TECH S.A.C.,32949749.0,0.046,45.4
327,DIVEIMPORT S.A.,32890728.02,0.046,45.446
328,FAST ENGENHARIA E MONTAGENS S.A. SUCURSAL DEL PERU,32875878.89,0.046,45.492
329,CONSORCIO NUEVO ECHARATI,32866327.56,0.045,45.537
330,CONSORCIO DIMAJO,32826710.35,0.045,45.582
331,CONSORCIO LEAL,32634287.54,0.045,45.627
332,CONSORCIO MEGA,32596508.28,0.045,45.672
333,CONSORCIO LEONCIO PRADO,32554022.11,0.045,45.717
334,COMERCIALIZADORA BARBOZA E.I.R.L.,32464975.68,0.045,45.762
335,CONSORCIO ELECTRICO MOQUEGUA,32349999.07,0.045,45.807
336,ELECTRONOROESTE S.A,32296113.45,0.045,45.852
337,CONSORCIO EJECUTOR GASTA BALA,32017860.83,0.044,45.896
338,CONSORCIO HARZONE - KAYSUN,31368000.0,0.043,45.939
339,ASEPCIA PERU S.A.C.,31306025.84,0.043,45.982
340,ALKOFARMA E.I.R.L.,31270432.5,0.043,46.025
341,IPESA S.A.C.,31210804.9,0.043,46.068
342,CONSORCIO LA MERCED,31186344.83,0.043,46.111
343,CONSORCIO EJECUTOR NORTE,31183572.29,0.043,46.154
344,COMERCIAL TRES ESTRELLAS S.A.,31181144.72,0.043,46.197
345,SEGURIDAD UNICA NACIONAL S.R.L.,31168931.94,0.043,46.24
346,CONSORCIO VIAL PORVENIR,31088454.99,0.043,46.283
347,CONSORCIO HOSPITALARIO DEL NORTE,31071939.14,0.043,46.326
348,INVERSIONES LUMI E.I.R.L.,30999125.76,0.043,46.369
349,CONSORCIO MAR,30991134.66,0.043,46.412
350,CONSORCIO GRUPO MENDOZA,30951269.81,0.043,46.455
351,CONSORCIO EDUCATIVO LOS ANDES,30715139.17,0.043,46.498
352,SERVICIOS GENERALES RAMBELL EIRL,30662000.0,0.042,46.54
353,CONSORCIO EDUCATIVO SUNGARO,30653070.56,0.042,46.582
354,CONSORCIO COCOCHO,30603376.34,0.042,46.624
